Implementation and Evaluation of Pentium 4 - Optimizations in the Audio Codec mp3PRO.,extern,Master
Erstellung einer T9-Worterkennungs-Software für Windows PCs,intern,Bachelor
Evaluierung der Spezifikation der Business Process Execution Language for Web Services und prototypische Integration in ein Informationsmanagementsystem,extern,Bachelor
"Konzeption, Machbarkeitsstudie und prototypische Umsetzung eines webbasierten Mitarbeiterprotals zur Personaleinsatzplanung und Zeitwirtschaft",extern,Master
Entwurf eines Konzepts zur nutzerfreundlichen Verschlüsselung von ISDN-Telefonie,intern,Master
Projektmanagement im öffentlichen Bereich - Von der Konzeption über die Realisierung zu einem Internet-Auftritt für eine Kirchengemeinde,intern,Bachelor
Erstellung einer Funktionsbibliothek für die automatische Benchmark-Analyse der KFZ-Steuergeräteprogrammierung auf Basis der ISO-Protokolle CAN/TP/KWP2000.,extern,Bachelor
Dynamische Dokumentengenerierung zur Print-Prozessunterstützung per XSL-FO,extern,Bachelor
Konzeption und Entwicklung einer Client-Server basierten Datenbankanwendung zur Unterstützung der administrativen Aufgaben in einer Begutachtungsstelle für Fahreignung,extern,Bachelor
Konzeption und Implementierung einer ERP-basierten Materialflussrechnung für die Wertschöpfungskette eines mittelständischen Produktionsunternehmens.,extern,Bachelor
Konzeption und Realisierung eines SOAP-Routers als Komponente serviceorientierter Architekturen,extern,Bachelor
State-of-the-Art-Analyse des internationalen Marktes für Softwaresysteme aus dem Bereich Wissensmanagement mmit Untersuchung der zugrundeliegenden Funktionen und anschließender Klassifzierung,intern,Bachelor
Analyse der Funktionalitäten und Leistungsmerkmale am deutschen Markt gängiger Content-Management-Systeme mit Entwurf eines Klassifikationsschemas,intern,Bachelor
Micropayment Protocols - making small payments on the Internet,intern,Bachelor
"Konzeption, Adaption und Einführung einer elektronischen Krankenakte am Beispiel einer Klinik mit Poliklinik",intern,Master
Entwurf und prototypische Implementierung eines EPC-Netzwerks unter Einsatz von mobilen kooperativen Software-Agenten zur Informationssuche,extern,Master
Erweiterung eines interpreterbasierten Systems um dynamische Elemente,extern,Bachelor
Strukturierung internetbasierter Human-Resource-Marketplaces,intern,Bachelor
Vergleich web-basierter Open-Source-Groupware-Lösungen,intern,Bachelor
Konzeption und Realisierung eines Frameworks für javabasierte Webanwendungen zur automatischen Validierung von Formulareingaben und zur Strukturierung der Webanwendungen nach MVC,intern,Bachelor
Konzeption und Realisierung einer JDF-basierten Workflow Integration in der Druckbranche,extern,Master
Design und Implementierung eines Web-basierten Inventar Managements für den Fachbereich Informatik,intern,Bachelor
